"rating","price_usd","dominant_label","norm_sentiment","skin_type","token_count","mentions_social_media"
5,49,"Texture, Fragrance & Makeup",0.555555555555556,"dry",18,FALSE
4,50,"Moisterization",0.555555555555556,"dry",9,FALSE
3,16,"Moisterization",0.0512820512820513,"combination",39,FALSE
5,80,"Texture, Fragrance & Makeup",0.75,"combination",8,FALSE
5,24,"Texture, Fragrance & Makeup",0.117647058823529,"combination",17,FALSE
1,125,"Problematic Skin (Acne/Sensitivity)",-0.19047619047619,"combination",21,FALSE
5,39,"Problematic Skin (Acne/Sensitivity)",0.132075471698113,"dry",53,FALSE
4,35,"Purchase Experience & Satisfaction",0.214285714285714,"combination",42,FALSE
5,36,"Texture, Fragrance & Makeup",0.0652173913043478,"oily",46,FALSE
5,22,"Purchase Experience & Satisfaction",0.214285714285714,"combination",14,FALSE
3,24,"Purchase Experience & Satisfaction",0,"combination",9,FALSE
5,24,"Moisterization",0.118279569892473,"dry",93,FALSE
4,36,"Problematic Skin (Acne/Sensitivity)",0.230769230769231,"combination",13,FALSE
3,19,"Texture, Fragrance & Makeup",0.0666666666666667,"normal",15,FALSE
5,39,"Purchase Experience & Satisfaction",0.238095238095238,"combination",42,FALSE
5,74,"Moisterization",0.0212765957446809,"combination",47,FALSE
4,74,"Moisterization",0.0833333333333333,"combination",24,FALSE
5,38,"Problematic Skin (Acne/Sensitivity)",0.0689655172413793,"combination",29,FALSE
5,72,"Moisterization",0,"normal",49,FALSE
5,90,"Moisterization",-0.0681818181818182,"dry",44,FALSE
3,24,"Purchase Experience & Satisfaction",0.25,"normal",8,FALSE
5,52,"Texture, Fragrance & Makeup",0.24,"combination",25,FALSE
5,92,"Purchase Experience & Satisfaction",0.666666666666667,"normal",12,FALSE
5,85,"Moisterization",0.154639175257732,"combination",97,FALSE
5,12,"Problematic Skin (Acne/Sensitivity)",0.428571428571429,"oily",14,FALSE
4,64,"Purchase Experience & Satisfaction",0.545454545454545,"normal",11,FALSE
5,70,"Texture, Fragrance & Makeup",0.0377358490566038,"normal",53,FALSE
5,32,"Texture, Fragrance & Makeup",0.31578947368421,"combination",19,FALSE
5,38,"Texture, Fragrance & Makeup",0.272727272727273,"normal",22,FALSE
5,125,"Texture, Fragrance & Makeup",0.565217391304348,"combination",23,FALSE
2,38,"Moisterization",0.35,"combination",20,FALSE
5,24,"Purchase Experience & Satisfaction",0.136363636363636,"combination",22,FALSE
5,20,"Texture, Fragrance & Makeup",0.295454545454545,"combination",44,FALSE
5,98,"Problematic Skin (Acne/Sensitivity)",0.08,"combination",25,FALSE
5,28,"Texture, Fragrance & Makeup",0.5,"normal",14,FALSE
2,62,"Problematic Skin (Acne/Sensitivity)",0.2,"combination",10,FALSE
2,64,"Problematic Skin (Acne/Sensitivity)",0.148148148148148,"combination",27,FALSE
5,39,"Problematic Skin (Acne/Sensitivity)",0.162162162162162,"oily",37,FALSE
4,50,"Purchase Experience & Satisfaction",0.222222222222222,"normal",27,FALSE
4,39,"Problematic Skin (Acne/Sensitivity)",0.0645161290322581,"combination",31,FALSE
5,52,"Purchase Experience & Satisfaction",0.21875,"combination",32,FALSE
5,85,"Texture, Fragrance & Makeup",0.545454545454545,"normal",22,FALSE
5,48,"Moisterization",0.133333333333333,"oily",15,FALSE
5,21,"Texture, Fragrance & Makeup",0.024390243902439,"combination",82,FALSE
5,82,"Purchase Experience & Satisfaction",0.0588235294117647,"combination",51,FALSE
5,42,"Moisterization",0.304347826086957,"combination",23,FALSE
4,82,"Texture, Fragrance & Makeup",0.2,"dry",30,FALSE
4,17,"Problematic Skin (Acne/Sensitivity)",0.428571428571429,"combination",7,FALSE
2,49,"Problematic Skin (Acne/Sensitivity)",0.142857142857143,"dry",7,FALSE
4,19,"Purchase Experience & Satisfaction",0.5,"combination",8,FALSE
4,51,"Moisterization",0.25,"combination",24,FALSE
4,54,"Purchase Experience & Satisfaction",0.31578947368421,"combination",19,FALSE
5,22,"Purchase Experience & Satisfaction",0.294117647058824,"dry",17,FALSE
4,35,"Texture, Fragrance & Makeup",0.106382978723404,"combination",47,FALSE
5,17,"Purchase Experience & Satisfaction",0,"normal",11,FALSE
5,65,"Purchase Experience & Satisfaction",0.137931034482759,"dry",29,FALSE
5,30,"Texture, Fragrance & Makeup",0.235294117647059,"combination",34,FALSE
4,25,"Moisterization",0.608695652173913,"combination",23,FALSE
5,105,"Moisterization",0.0847457627118644,"normal",59,FALSE
4,38.5,"Texture, Fragrance & Makeup",0.323529411764706,"dry",34,FALSE
5,25,"Moisterization",0.0384615384615385,"combination",26,FALSE
5,38,"Texture, Fragrance & Makeup",0.307692307692308,"combination",26,FALSE
5,28,"Texture, Fragrance & Makeup",0.285714285714286,"dry",14,FALSE
4,42,"Moisterization",0.203007518796992,"combination",133,FALSE
5,36,"Texture, Fragrance & Makeup",0.266666666666667,"combination",45,FALSE
4,14,"Moisterization",0,"combination",6,FALSE
3,33,"Purchase Experience & Satisfaction",0.111111111111111,"dry",36,FALSE
4,65,"Moisterization",0.0860215053763441,"dry",93,FALSE
5,9.5,"Problematic Skin (Acne/Sensitivity)",0.0975609756097561,"combination",41,FALSE
5,72,"Purchase Experience & Satisfaction",0.333333333333333,"combination",18,FALSE
4,32.5,"Problematic Skin (Acne/Sensitivity)",0.05,"combination",40,FALSE
5,13,"Problematic Skin (Acne/Sensitivity)",0.0869565217391304,"dry",23,FALSE
5,52,"Moisterization",0.105263157894737,"normal",19,FALSE
5,18,"Purchase Experience & Satisfaction",0.379310344827586,"combination",29,FALSE
5,122,"Texture, Fragrance & Makeup",0.115942028985507,"combination",69,FALSE
4,71,"Purchase Experience & Satisfaction",0.0212765957446809,"combination",47,FALSE
5,40,"Purchase Experience & Satisfaction",0.204081632653061,"combination",49,FALSE
5,39,"Problematic Skin (Acne/Sensitivity)",0.857142857142857,"dry",7,FALSE
5,80,"Moisterization",0.195121951219512,"combination",41,FALSE
5,46,"Texture, Fragrance & Makeup",0.392857142857143,"combination",28,FALSE
4,65,"Moisterization",0.368421052631579,"combination",19,FALSE
5,12,"Moisterization",0.25,"combination",36,FALSE
4,52,"Texture, Fragrance & Makeup",0.0208333333333333,"combination",48,FALSE
5,49,"Problematic Skin (Acne/Sensitivity)",0,"normal",4,FALSE
5,49,"Purchase Experience & Satisfaction",0.375,"dry",8,FALSE
5,28,"Moisterization",0.241379310344828,"combination",29,FALSE
5,15.7,"Texture, Fragrance & Makeup",0.384615384615385,"dry",13,FALSE
5,50,"Texture, Fragrance & Makeup",0.6,"normal",5,FALSE
1,68,"Purchase Experience & Satisfaction",0.0952380952380952,"dry",42,FALSE
5,18,"Problematic Skin (Acne/Sensitivity)",0.1,"combination",30,FALSE
5,60,"Purchase Experience & Satisfaction",0.129032258064516,"oily",31,FALSE
1,70,"Texture, Fragrance & Makeup",0.0625,"combination",16,FALSE
5,14,"Purchase Experience & Satisfaction",0.333333333333333,"oily",18,FALSE
5,125,"Purchase Experience & Satisfaction",0.099009900990099,"dry",101,FALSE
5,12,"Purchase Experience & Satisfaction",0.5,"normal",10,FALSE
5,22,"Purchase Experience & Satisfaction",0.333333333333333,"oily",12,FALSE
5,60,"Problematic Skin (Acne/Sensitivity)",0.127659574468085,"combination",47,FALSE
5,74,"Moisterization",0.0526315789473684,"dry",19,FALSE
